enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2260114,A10ERGOS06S0Q47A,"BMWT - CONSULTORIA E SERVIÇOS INFORMÁTICOS, LDA.",Cadeira ERGOS 06 - 50x50x46cm - (P)623,40,,
ENC-A-2253381,A10CBEH000S0278A,MUNICÍPIO DE BARCELOS,Estante c/Prateleiras Horizontal 80x35x100cm - Faia,3,,
ENC-A-2253381,A10CBEI000S0181A,MUNICÍPIO DE BARCELOS,Estante c/Prateleiras Inclinadas 80x35x100cm - FFaia,2,,
ENC-A-2260102,A10PREP00425678A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Bancada de Electricidade 180x80x90cm - T166/R7037/PVC Cinza Claro,24,,
ENC-A-2260102,A10AT4M714S0858A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA","Secretária ""U4"" 140x70x74cm - (Me)Cinza Claro/R7037",6,,
ENC-A-2260053,A19AR0000586Y77A,MUNICÍPIO DE ALCANENA,Armário Vitrine (TAR) 120x65x200cm - [A](Me)Cinza Claro/[R](Fe)Cinza Claro,3,,
ENC-A-2260053,A19AR0000586Y77A,MUNICÍPIO DE ALCANENA,Armário Vitrine (TAR) 120x65x200cm - [A](Me)Cinza Claro/[R](Fe)Cinza Claro,2,,
ENC-A-2260053,A19AR0000586Y77A,MUNICÍPIO DE ALCANENA,Armário Vitrine (TAR) 120x65x200cm - [A](Me)Cinza Claro/[R](Fe)Cinza Claro,1,,
ENC-A-2260082,A19AR0000586Y77A,EDUCHIADO LDA,Armário Vitrine (TAR) 120x65x200cm - [A](Me)Cinza Claro/[R](Fe)Cinza Claro,1,,
ENC-A-2252835,A14BU32D0000162B,ASSOCIAÇÃO RAUL DÓRIA,NETBOOK BUS 32 Dispositivos 110x64x125cm - (E)R7035/(P)R7037,2,,
ENC-A-2252835,A10HT05000S0598A,ASSOCIAÇÃO RAUL DÓRIA,Mesa Tampo Rebatível c/Rodas 140x70x74cm - (Me)CinzaClaro/R7035,54,,
ENC-A-2252835,A19ZZ0000809000A,ASSOCIAÇÃO RAUL DÓRIA,Chapa Ceramica Branca L=1175mm - 2000x1175mm,33,,
